id,text,label,reasoning
1,"Qual é o horário de funcionamento da loja?","question","The sender is asking for information about opening hours."
2,"Onde posso acompanhar o estado da minha encomenda?","question","The sender wants information about order tracking."
3,"O meu pedido ainda não chegou e já passou do prazo.","complaint","The sender reports a delayed order and dissatisfaction."
4,"Recebi um produto danificado.","complaint","The sender reports a problem with the product."
5,"Quero cancelar a minha encomenda.","request","The sender asks the company to cancel an order."
6,"Por favor, alterem o meu endereço de entrega.","request","The sender asks the company to perform a specific action."
7,"Gostei muito da rapidez do atendimento.","feedback","The sender gives positive feedback without requesting action."
8,"Seria bom disponibilizarem mais formas de pagamento.","feedback","The sender gives a suggestion without directly requesting a specific action."
9,"Ganhe dinheiro rápido. Clique neste link agora.","spam","The message promotes an unrelated and suspicious offer."
10,"Temos uma oferta de criptomoedas para si. Contacte-nos já.","spam","The message promotes an unrelated service."
11,"Quanto custa a entrega para Maputo?","question","The sender asks for information about delivery cost."
12,"A aplicação apresenta erro quando tento fazer pagamento.","complaint","The sender reports a technical problem."
13,"Podem enviar novamente a fatura por e-mail?","request","The sender asks the company to resend an invoice."
14,"O atendimento poderia ser mais rápido.","feedback","The sender gives an opinion about service quality."
15,"Por que o meu pagamento foi recusado?","question","The sender asks for an explanation."
16,"Não estou satisfeito com a qualidade do produto.","complaint","The sender expresses dissatisfaction."
17,"Preciso atualizar o meu número de telefone na conta.","request","The sender asks for an account change."
18,"A embalagem estava muito bem organizada.","feedback","The sender gives positive feedback."
19,"Clique aqui para receber um prémio exclusivo.","spam","The message is an unsolicited promotional message."
20,"Existe alguma loja física na minha cidade?","question","The sender asks for location information."
