id,original_text,review_area,issue_found,revised_text,quality_score,reviewer_note
1,"Eu fui no hospital ontem.","Grammar and naturalness","The preposition is less appropriate in formal standard Portuguese.","Fui ao hospital ontem.",4,"The original sentence is understandable. The revised version is more suitable for formal written Portuguese."
2,"Os cliente recebeu a encomenda.","Grammar","The noun and verb do not agree in number.","Os clientes receberam a encomenda.",2,"The sentence contains agreement errors in both the noun and verb."
3,"Por favor, pode me explicar como funciona?","Regional usage","The phrase is common in Brazilian Portuguese and is not necessarily an error.","Por favor, pode explicar-me como funciona?",5,"Both forms can be acceptable depending on the intended Portuguese variety."
4,"A sua encomenda foi enviado ontem.","Grammar","The participle does not agree with the feminine noun 'encomenda'.","A sua encomenda foi enviada ontem.",3,"The message is clear, but the participle agreement must be corrected."
5,"Nós vai enviar o documento amanhã.","Grammar","The verb does not agree with the plural subject.","Nós vamos enviar o documento amanhã.",2,"The sentence contains a subject-verb agreement error."
6,"O pagamento foi efetuado com sucesso.","No issue","No relevant grammar or clarity issue was identified.","O pagamento foi efetuado com sucesso.",5,"The sentence is clear, grammatically correct, and appropriate for a formal message."
7,"A aplicação está muito lento.","Grammar","The adjective does not agree with the feminine noun 'aplicação'.","A aplicação está muito lenta.",3,"The sentence is understandable, but gender agreement must be corrected."
8,"Quero saber onde fica a loja mais perto.","Clarity and naturalness","The expression is understandable but incomplete in formal Portuguese.","Quero saber onde fica a loja mais próxima.",4,"The revised sentence is more natural and precise."
9,"Seu pedido já foi entregue, obrigado por comprar conosco.","Punctuation and clarity","The sentence would be clearer when separated into two statements.","O seu pedido já foi entregue. Obrigado por comprar connosco.",4,"The original is understandable, but punctuation improves readability."
10,"Não consegui acessar a minha conta porque minha senha não funciona.","Regional usage","The wording is common in Brazilian Portuguese and is acceptable for a Brazilian audience.","Não consegui aceder à minha conta porque a minha palavra-passe não funciona.",5,"Both versions are acceptable. The revised version is more common in European and Mozambican formal usage."
